season,start,end
00_01,2000-10-31,2001-4-18
01_02,2001-10-30,2002-04-17
02_03,2002-10-29,2003-04-16
03_04,2003-10-28,2004-04-14
04_05,2004-11-02,2005-04-20
05_06,2005-11-01,2006-04-19
06_07,2006-10-31,2007-04-18
07_08,2007-10-30,2008-04-16
08_09,2008-10-28,2009-04-16
09_10,2009-10-27,2010-04-14
10_11,2010-10-26,2011-04-13
11_12,2011-12-25,2012-04-26
12_13,2012-10-30,2017-04-17
13_14,2013-10-29,2014-04-16
14_15,2014-10-28,2015-04-15
15_16,2015-10-27,2016-04-13
16_17,2016-10-25,2017-04-12
17_18,2017-10-17,2018-04-11
18_19,2018-10-18,2019-04-10